sno,skill
1,3Ds Max
2,ABBYY Real-Time Recognition SDK
3,Adobe Fuse
4,Adobe XD
5,AEM(Adobe Experience Manager)
6,Ajax
7,Amazon Kinesis
8,ANSYS
9,Apache
10,Apache Airflow
11,Apache Bigtop
12,Apache Bloodhound
13,Apache BookKeeper
14,Apache Buildr
15,Apache Cordova
16,Apache Eagle
17,Apache Falcon
18,Apache Felix
19,Apache Hadoop
20,Apache Hama
21,Apache HAWQ
22,Apache Hive
23,Apache Isis
24,Apache jclouds
25,Apache JSPWiki
26,Apache jUDDI
27,Apache Juneau
28,Apache Kafka
29,Apache Karaf
30,Apache Knox
31,Apache Kylin
32,Apache Lens
33,Apache Logging
34,Apache Lucene.Net
35,Apache MADlib
36,Apache Mnemonic
37,Apache Mynewt
38,Apache Nifi
39,Apache Nutch
40,Apache ODE
41,Apache Olingo
42,Apache OODT
43,Apache Open Climate Workbench
44,Apache OpenJPA
45,Apache OpenWebBeans
46,Apache OpenWhisk
47,Apache Perl
48,Apache Phoenix
49,Apache Pulsar
50,Apache Qpid
51,Apache REEF
52,Apache Samza
53,Apache Sling
54,Apache Sqoop
55,Apache Storm
56,Apache Syncope
57,Apache Tajo
58,Apache Thrift
59,Apache Tika
60,Apache Traffic Control
61,Apache Trafodion
62,Apache Twill
63,Apache UIMA
64,Apache Unomi
65,Apache Usergrid
66,Apache Web Services
67,Apache Whimsy
68,Apache Wicket
69,Apache Xalan
70,Apache Xerces
71,Apache XML Graphics
72,Apache XMLBeans
73,Apache Yetus
74,Apache Zeppelin
75,Apache ZooKeeper
76,App Inventor
77,Appium
78,ArcGIS
79,ATL(ATL Transformation Language)
80,Auth0
81,AutoCAD
82,AWS Alexa
83,AWS Alexa Skills
84,AWS Application Discovery Service
85,AWS Backup
86,AWS Budgets
87,AWS EFS
88,AWS Elastic Transcoder
89,AWS ElastiCache
90,AWS ElasticBeanstalk
91,AWS Elasticsearch Service
92,AWS Forecast
93,AWS IAM
94,AWS Inspector
95,AWS IoT Analytics
96,AWS IoT Core
97,AWS IoT Events
98,AWS Kinesis
99,AWS License Manager
100,AWS MediaConvert
101,AWS MediaPackage
102,AWS Migration Hub
103,AWS Mobile Hub
104,AWS QuickSight
105,AWS RDS
106,AWS Rekognition
107,AWS Route 53
108,AWS Simple Notification Service(AWS SNS)
109,AWS Simple Queue Service(AWS SQS)
110,AWS WorkSpaces
111,AWS X-Ray
112,Azure API Management
113,Azure Batch
114,Azure Bing Image Search
115,Azure Bing Visual Search
116,Azure Bing Web Search
117,Azure Bot Service
118,Azure Computer Vision
119,Azure Container Registry
120,Azure Content Delivery Network
121,Azure Content Protection
122,Azure Data Catalog
123,Azure Data Explorer
124,Azure Data Lake Analytics
125,Azure Data Lake Storage
126,Azure Database for MySQL
127,Azure Dedicated HSM
128,Azure Digital Twins
129,Azure File Storage
130,Azure Functions
131,Azure IoT Hub
132,Azure Key Vault
133,Azure Kinect DK
134,Azure Kubernetes Service (AKS)
135,Azure Language Understanding
136,Azure Linguistic Analysis
137,Azure Load Balancer
138,Azure Maps
139,Azure Migrate
140,Azure Mobile Apps
141,Azure Network Watcher
142,Azure Notification Hubs
143,Azure QnA Maker
144,Azure Queue Storage
145,Azure R Server for HDInsight
146,Azure Remote Rendering
147,Azure SAP HANA on Large Instances
148,Azure Time Series Insights
149,Azure Virtual Machine Scale Sets
150,Azure Virtual Network
151,Azure Virtual WAN
152,Azure Web Apps
153,Azure Xamarin
154,Babylon.js
155,Backbone.js
156,Battery Management System(BMS)
157,Big Data
158,billboard.js
159,BitBucket
160,BlueZ
161,Bottle
162,C
163,C#
164,C++
165,C3.js
166,Caffe(Convolutional Architecture for Fast Feature Embedding)
167,CAPL
168,CATIA
169,centOS
170,Chrome Extension
171,CircleCI
172,Codeception
173,CodeIgniter
174,Composer
175,Constrained Application Protocol(CoAP)
176,Consul
177,Dagger2
178,Dart
179,Data Binding
180,Data visualization
181,Db2
182,Deep Learning
183,DigitalOcean
184,Django
185,Django Channels
186,Docker
187,Drupal
188,DSP(Digital Signal Processing)
189,EJS
190,Element UI
191,Entity Framework
192,Enzyme
193,ESLint
194,Esper
195,Expo
196,ExpressJS
197,EXTJS
198,Fastly
199,FeathersJS
200,Filebeat
201,Finagle
202,Finatra
203,Firebase
204,Flask
205,flutter
206,Framework7
207,Functional JS
208,Git
209,GitHub
210,Google Access Transparency
211,Google Adwords
212,Google AI Hub
213,Google Apigee API Platform
